Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,LLY,LLY,LLY,LLY,LLY,,,
2021-06-30,2021,6,30,Wednesday,26,2021-26,219.49,220.21,218.5,218.94,1786700,0.0,218.94,218.94
2021-07-01,2021,7,1,Thursday,26,2021-26,218.93,220.83,218.12,220.48,1977300,0.00701481360422096,219.70999999999998,219.70999999999998
2021-07-02,2021,7,2,Friday,26,2021-26,221.28,223.42,220.67,223.18,1994000,0.01224413272128011,220.86666666666667,220.86666666666667
2021-07-06,2021,7,6,Tuesday,27,2021-27,222.86,224.72,222.48,224.57,3125400,0.00624030550094079,221.7925,221.7925
2021-07-07,2021,7,7,Wednesday,27,2021-27,223.86,225.69,222.7,224.95,3141500,0.0016990681624209358,222.42399999999998,222.42399999999998
2021-07-08,2021,7,8,Thursday,27,2021-27,223.05,226.34,221.4,226.19,2431500,0.005512706982574445,223.05166666666665,223.05166666666665
2021-07-09,2021,7,9,Friday,27,2021-27,226.24,227.48,222.02,224.16,4030100,-0.008982811104014443,223.21,223.21
2021-07-12,2021,7,12,Monday,28,2021-28,224.33,227.03,224.31,225.13,2928600,0.004340599636624809,223.45,223.45
2021-07-13,2021,7,13,Tuesday,28,2021-28,225.11,225.74,223.24,224.46,1974000,-0.0030081949318990775,223.5622222222222,223.5622222222222
2021-07-14,2021,7,14,Wednesday,28,2021-28,224.92,226.3,223.91,225.46,2103400,0.004462276934589671,223.752,223.752
2021-07-15,2021,7,15,Thursday,28,2021-28,224.18,225.11,220.06,220.8,3611200,-0.020647324487725327,223.48363636363638,223.48363636363638
2021-07-16,2021,7,16,Friday,28,2021-28,221.79,222.3,220.55,221.75,2229100,0.004276964884936563,223.33916666666667,223.33916666666667
2021-07-19,2021,7,19,Monday,29,2021-29,221.19,223.5,219.94,223.35,2305600,0.007226939028512236,223.34,223.34
2021-07-20,2021,7,20,Tuesday,29,2021-29,224.17,226.79,223.16,224.19,2297800,0.0037585763701988295,223.4007142857143,223.4007142857143
2021-07-21,2021,7,21,Wednesday,29,2021-29,225.49,226.43,222.83,226.35,1651500,0.009658551014522843,223.93,223.59733333333332
2021-07-22,2021,7,22,Thursday,29,2021-29,226.35,228.65,225.48,227.5,1703500,0.005057305727822481,224.43142857142857,223.84125
2021-07-23,2021,7,23,Friday,29,2021-29,228.25,233.28,227.57,232.9,2448100,0.02373253979384682,225.1257142857143,224.37411764705882
2021-07-26,2021,7,26,Monday,30,2021-30,231.39,233.98,231.39,232.0,2678800,-0.0038499686927566668,225.65642857142856,224.79777777777778
2021-07-27,2021,7,27,Tuesday,30,2021-30,232.48,232.81,231.48,232.35,2116500,0.001521262354419628,226.185,225.19526315789474
2021-07-28,2021,7,28,Wednesday,30,2021-30,232.15,236.95,231.46,235.15,1688000,0.012028941118001013,226.82500000000002,225.69299999999998
2021-07-29,2021,7,29,Thursday,30,2021-30,236.09,236.8,231.08,234.02,1924100,-0.004786714235100353,227.52928571428575,226.08952380952383
2021-07-30,2021,7,30,Friday,30,2021-30,233.61,234.62,231.45,232.28,1905100,-0.007459601162234097,228.04,226.3709090909091
2021-08-02,2021,8,2,Monday,31,2021-31,234.41,236.47,232.99,235.24,1958900,0.012731132417874491,228.81,226.75652173913042
